ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
653623,SHENZHEN IP3 CENTRY INTELLIGENT TECHNOLO,,non_canonical_customer_no_title_brand,NA,SHENZHEN IP3 CENTRY INTELLIGENT TECHNOLO,2021-10-20 01:26:00,[Jasperlake][CNVI][JN10]The CNVI net adapter may fail to read SubSystem ID
651935,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-10-13 20:36:00,[Realme][HUAQIN][Intel TGL][intel 9560][21H2]Intel PROSet / Wirelss WiFi soft extension driver loss (1 / 118 cycles) occurs when running warmboot / coldboot with ACPI stress tool
651935,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-10-13 20:36:00,[Realme][HUAQIN][Intel TGL][intel 9560][21H2]Intel PROSet / Wirelss WiFi soft extension driver loss (1 / 118 cycles) occurs when running warmboot / coldboot with ACPI stress tool
651935,"HUAQIN TECHNOLOGY CO., LTD",,non_canonical_customer_no_title_brand,NA,"Huaqin Technology Co., Ltd",2021-10-13 20:36:00,[Realme][HUAQIN][Intel TGL][intel 9560][21H2]Intel PROSet / Wirelss WiFi soft extension driver loss (1 / 118 cycles) occurs when running warmboot / coldboot with ACPI stress tool
650122,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-10-06 01:41:00,[Intel NUC Hardbay/Pegatron/ADL-P]Wake on WLAN from modern standby fail on CC/FB carry board.
650122,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-10-06 01:41:00,[Intel NUC Hardbay/Pegatron/ADL-P]Wake on WLAN from modern standby fail on CC/FB carry board.
650122,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-10-06 01:41:00,[Intel NUC Hardbay/Pegatron/ADL-P]Wake on WLAN from modern standby fail on CC/FB carry board.
649873,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-10-05 01:53:00,Intel AX200 simulation model of PCIe and USB
649873,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-10-05 01:53:00,Intel AX200 simulation model of PCIe and USB
649873,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-10-05 01:53:00,Intel AX200 simulation model of PCIe and USB
649077,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-09-29 21:51:00,[MSFT Pegatron][BirchBay][ADL-P][AX211]DRTU_commend line interface issue
649077,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-09-29 21:51:00,[MSFT Pegatron][BirchBay][ADL-P][AX211]DRTU_commend line interface issue
649077,PEGATRON CORPORATION,,non_canonical_customer_no_title_brand,NA,Pegatron Corporation,2021-09-29 21:51:00,[MSFT Pegatron][BirchBay][ADL-P][AX211]DRTU_commend line interface issue
648801,JAGUAR LAND ROVER - END CUSTOMER,,non_canonical_customer_no_title_brand,NA,JAGUAR LAND ROVER - End Customer,2021-09-29 01:05:00,DRTU support for Wilkins Peak
648801,JAGUAR LAND ROVER - END CUSTOMER,,non_canonical_customer_no_title_brand,NA,JAGUAR LAND ROVER - End Customer,2021-09-29 01:05:00,DRTU support for Wilkins Peak
648801,JAGUAR LAND ROVER - END CUSTOMER,,non_canonical_customer_no_title_brand,NA,JAGUAR LAND ROVER - End Customer,2021-09-29 01:05:00,DRTU support for Wilkins Peak
648075,"COMPAL ELECTRONICS, INC.",,non_canonical_customer_no_title_brand,NA,"COMPAL ELECTRONICS, INC.",2021-09-27 01:06:00,Intel BT_22.50.0.4 version install return code:123
648075,"COMPAL ELECTRONICS, INC.",,non_canonical_customer_no_title_brand,NA,"COMPAL ELECTRONICS, INC.",2021-09-27 01:06:00,Intel BT_22.50.0.4 version install return code:123
648075,"COMPAL ELECTRONICS, INC.",,non_canonical_customer_no_title_brand,NA,"COMPAL ELECTRONICS, INC.",2021-09-27 01:06:00,Intel BT_22.50.0.4 version install return code:123
