ips_case_number,customer,ips_customer_name,ips_oem,ips_owner_name,ips_title,ips_created_date,jira_id
661225,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Wesley Kuo,"[Samsung][Intel-ADL][Titan2-M][Win11 R]The units show ""Bluetooth-??(R) ?? Bluetooth(R)"", HWID : USB\VID_8087&PID_0026&REV_0002, Not found during running WR&HS Mix.",2021-11-16 02:08:00,NA
661101,MSI,"MICRO-STAR INTERNATIONAL CO., LTD.","MICRO-STAR INTERNATIONAL CO., LTD.",Brandon Yang,[MSI][MS-1584][ADL-P] BSOD 0x116 VIDEO_TDR_FAILURE occurred when running 3DMARK.,2021-11-15 22:01:00,NA
661063,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Steven ZY Chen,[Huaqin][NB2631][ADL-P] BSOD occurred during the HLK test for System - PNP (disable and enable) with IO Before and After (Reliability).,2021-11-15 19:45:00,NA
661063,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Steven ZY Chen,[Huaqin][NB2631][ADL-P] BSOD occurred during the HLK test for System - PNP (disable and enable) with IO Before and After (Reliability).,2021-11-15 19:45:00,NA
661063,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Steven ZY Chen,[Huaqin][NB2631][ADL-P] BSOD occurred during the HLK test for System - PNP (disable and enable) with IO Before and After (Reliability).,2021-11-15 19:45:00,NA
661017,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,[Huawei][Quanta][EulerD][TGL-UP4][AX201][20H2][WLAN][805242601] Connecting wifi AP then adjusting system voice volume will cause high CPU usage.,2021-11-15 18:21:00,NA
661017,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,[Huawei][Quanta][EulerD][TGL-UP4][AX201][20H2][WLAN][805242601] Connecting wifi AP then adjusting system voice volume will cause high CPU usage.,2021-11-15 18:21:00,NA
661017,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,[Huawei][Quanta][EulerD][TGL-UP4][AX201][20H2][WLAN][805242601] Connecting wifi AP then adjusting system voice volume will cause high CPU usage.,2021-11-15 18:21:00,NA
661013,"COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.",Brandon Yang,[Dell_Compal_ADL_Odyssey]Demo video won?t change after adjust video setting in IGCC Video page.,2021-11-15 18:05:00,NA
660804,"COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.",Brandon Yang,[Dell_Compal_ADL_Odyssey]Seamless DRRS no function even with VBT/GFX Driver/LCD supported.,2021-11-15 01:00:00,NA
660802,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Zhiqiang Cai,[Lenovo-Ideapad][Compal][V350][ADL-P][Win11] AX211 WLAN card Wifi auto disconnect when run Wifi S0i3 w/ 6G network,2021-11-15 00:58:00,NA
660802,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Zhiqiang Cai,[Lenovo-Ideapad][Compal][V350][ADL-P][Win11] AX211 WLAN card Wifi auto disconnect when run Wifi S0i3 w/ 6G network,2021-11-15 00:58:00,NA
660802,"COMPAL ELECTRONICS, INC.",NA,"COMPAL ELECTRONICS, INC.",Zhiqiang Cai,[Lenovo-Ideapad][Compal][V350][ADL-P][Win11] AX211 WLAN card Wifi auto disconnect when run Wifi S0i3 w/ 6G network,2021-11-15 00:58:00,NA
660616,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,[Huawei][Quanta][BohrD][TGL][AX201][20H2][WiFi][805239340]Video lag when displaying PC screen to a external monitor by multi-screen collaboration technology.,2021-11-14 19:04:00,NA
660616,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,[Huawei][Quanta][BohrD][TGL][AX201][20H2][WiFi][805239340]Video lag when displaying PC screen to a external monitor by multi-screen collaboration technology.,2021-11-14 19:04:00,NA
660616,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,[Huawei][Quanta][BohrD][TGL][AX201][20H2][WiFi][805239340]Video lag when displaying PC screen to a external monitor by multi-screen collaboration technology.,2021-11-14 19:04:00,NA
660579,WISTRON CORPORATION,NA,WISTRON CORPORATION,Zhiqiang Cai,[Lenovo][Wistron][ThinkBook 13x Gen 2][ADL][AX201][Win11][33%]FVT2: SUT show BSOD:bugcode ndis driver during S4 stress,2021-11-14 18:04:00,NA
660579,WISTRON CORPORATION,NA,WISTRON CORPORATION,Zhiqiang Cai,[Lenovo][Wistron][ThinkBook 13x Gen 2][ADL][AX201][Win11][33%]FVT2: SUT show BSOD:bugcode ndis driver during S4 stress,2021-11-14 18:04:00,NA
660579,WISTRON CORPORATION,NA,WISTRON CORPORATION,Zhiqiang Cai,[Lenovo][Wistron][ThinkBook 13x Gen 2][ADL][AX201][Win11][33%]FVT2: SUT show BSOD:bugcode ndis driver during S4 stress,2021-11-14 18:04:00,NA
660111,"COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.","COMPAL ELECTRONICS, INC.",Brandon Yang,[Dell_Compal_Horizon MLK_ADL-P_Win11] Video will hang while full screen playback long testing period (mouse cursor alive),2021-11-11 01:27:00,NA
659984,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][WLAN] [AX201][BUG-20211111-37766] Connect to a dual-mode adaptive router, stay away from the router and cannot roam to 2.4G network",2021-11-10 22:00:00,NA
659984,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][WLAN] [AX201][BUG-20211111-37766] Connect to a dual-mode adaptive router, stay away from the router and cannot roam to 2.4G network",2021-11-10 22:00:00,NA
659984,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Charles P Chu,"[Huawei][Quanta][H99E][NobelF][AX201][21H2][WLAN] [AX201][BUG-20211111-37766] Connect to a dual-mode adaptive router, stay away from the router and cannot roam to 2.4G network",2021-11-10 22:00:00,NA
659880,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Leo Chiang,"[Huawei][Quanta][H9HD][HookF][AX211][21H2][BT][BUG-20211111-37758] Connect a Bluetooth speaker/Bluetooth headset, in the lower right corner is Hands-Free, and the channel will not automatically switch after connection, it still be speaker output",2021-11-10 16:41:00,NA
659880,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Leo Chiang,"[Huawei][Quanta][H9HD][HookF][AX211][21H2][BT][BUG-20211111-37758] Connect a Bluetooth speaker/Bluetooth headset, in the lower right corner is Hands-Free, and the channel will not automatically switch after connection, it still be speaker output",2021-11-10 16:41:00,NA
659880,QUANTA COMPUTER INC.,NA,QUANTA COMPUTER INC.,Leo Chiang,"[Huawei][Quanta][H9HD][HookF][AX211][21H2][BT][BUG-20211111-37758] Connect a Bluetooth speaker/Bluetooth headset, in the lower right corner is Hands-Free, and the channel will not automatically switch after connection, it still be speaker output",2021-11-10 16:41:00,NA
659667,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Leo Chiang,"[HuaQin][Asus][B3402FEA]Install Intel Bluetooth driver(22.90HF2),the Bluetooth  audio connected status can not show the ?voice,music? string.(FR:100%)",2021-11-09 22:38:00,NA
659667,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Leo Chiang,"[HuaQin][Asus][B3402FEA]Install Intel Bluetooth driver(22.90HF2),the Bluetooth  audio connected status can not show the ?voice,music? string.(FR:100%)",2021-11-09 22:38:00,NA
659667,"HUAQIN TECHNOLOGY CO., LTD",NA,"Huaqin Technology Co., Ltd",Leo Chiang,"[HuaQin][Asus][B3402FEA]Install Intel Bluetooth driver(22.90HF2),the Bluetooth  audio connected status can not show the ?voice,music? string.(FR:100%)",2021-11-09 22:38:00,NA
659618,DYNABOOK INC.,NA,Dynabook Inc.,Franky Yang,[Dynabook][Win11]  roaming test failed for Wi-Fi 6E,2021-11-09 21:21:00,NA
659618,DYNABOOK INC.,NA,Dynabook Inc.,Franky Yang,[Dynabook][Win11]  roaming test failed for Wi-Fi 6E,2021-11-09 21:21:00,NA
659618,DYNABOOK INC.,NA,Dynabook Inc.,Franky Yang,[Dynabook][Win11]  roaming test failed for Wi-Fi 6E,2021-11-09 21:21:00,NA
659583,DYNABOOK INC.,NA,Dynabook Inc.,Franky Yang,[Dynabook][Win11] Cannot connect to 6E AP if set SSID as hidden,2021-11-09 19:23:00,NA
