ips_case_number,ips_owner_name,reporter,ips_created_date,ips_oem,jira_id,ips_jira_id,ips_title
652918,Zhiwei He,NA,2021-10-18 04:07:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][21H2]After PC is restarted, WLAN cannot connect automatically and the WiFi search failed"
652918,Zhiwei He,NA,2021-10-18 04:07:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][21H2]After PC is restarted, WLAN cannot connect automatically and the WiFi search failed"
652918,Zhiwei He,NA,2021-10-18 04:07:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][21H2]After PC is restarted, WLAN cannot connect automatically and the WiFi search failed"
653078,Zhiwei He,NA,2021-10-18 19:53:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL-R][Intel AX201][Win11]Found occur video lag after PC projecting to PDA via PC manage and play local video
653078,Zhiwei He,NA,2021-10-18 19:53:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL-R][Intel AX201][Win11]Found occur video lag after PC projecting to PDA via PC manage and play local video
653078,Zhiwei He,NA,2021-10-18 19:53:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL-R][Intel AX201][Win11]Found occur video lag after PC projecting to PDA via PC manage and play local video
654041,Zhiwei He,NA,2021-10-21 01:48:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]PC connection 5G WiFi for p2p connection, can only be negotiated to 20mhz"
654041,Zhiwei He,NA,2021-10-21 01:48:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]PC connection 5G WiFi for p2p connection, can only be negotiated to 20mhz"
654041,Zhiwei He,NA,2021-10-21 01:48:00,"SHANGHAI WINGTECH ELECTRONICS TECHNOLOGYCO., LTD.",,NA,"[Huawei][Wingtech][CurieM][AMD Cezanne][AX200][20H2]PC connection 5G WiFi for p2p connection, can only be negotiated to 20mhz"
658305,Zhiwei He,NA,2021-11-04 04:24:00,"Huaqin Technology Co., Ltd",,NA,[HUAWEI][HUAQIN][Morgan][Intel TGL][Intel AX201][W11][WIFI] Have no access to the internet about 30s~1min when resume from modernstandby.
