ips_case_number,customer,suggested_customer,reason,ips_customer_name,ips_oem,ips_created_date,ips_title
629738,"COMPAL ELECTRONICS, INC.",DELL|NEC,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-14 03:08:00,[Dell][Andrews_TGL][WiFi]Unable to connect to 5G Wifi
629654,"COMPAL ELECTRONICS, INC.",LENOVO,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-14 00:45:00,"[Lenovo_IdeaPad][Compal][S560pro-14ACN ][Win11] Test unit sometimes lack of BT Headset output choice. (F/R:1/3, 1/20)"
629654,"COMPAL ELECTRONICS, INC.",LENOVO,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-14 00:45:00,"[Lenovo_IdeaPad][Compal][S560pro-14ACN ][Win11] Test unit sometimes lack of BT Headset output choice. (F/R:1/3, 1/20)"
629654,"COMPAL ELECTRONICS, INC.",LENOVO,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-14 00:45:00,"[Lenovo_IdeaPad][Compal][S560pro-14ACN ][Win11] Test unit sometimes lack of BT Headset output choice. (F/R:1/3, 1/20)"
629311,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-13 00:27:00,"[Honor][Huaqin][Halley-M][AMD-Ryzen][AX200][21H1]Power Dropping of 11n MCS7, & 11n MCS0 cannot be tested"
629311,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-13 00:27:00,"[Honor][Huaqin][Halley-M][AMD-Ryzen][AX200][21H1]Power Dropping of 11n MCS7, & 11n MCS0 cannot be tested"
629311,"HUAQIN TECHNOLOGY CO., LTD",HONOR,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-13 00:27:00,"[Honor][Huaqin][Halley-M][AMD-Ryzen][AX200][21H1]Power Dropping of 11n MCS7, & 11n MCS0 cannot be tested"
629288,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-12 23:53:00,[Dell/Compal_ Odyssey_ADLP] WHLK test fail on BT audio offload items
629288,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-12 23:53:00,[Dell/Compal_ Odyssey_ADLP] WHLK test fail on BT audio offload items
629288,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-12 23:53:00,[Dell/Compal_ Odyssey_ADLP] WHLK test fail on BT audio offload items
629283,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-12 23:43:00,"[Dell][Compal][Tiger Lake] [AX201]System hang black screen after resume from MS,there are too many repetition events ID 7025/7026 in Event log"
629283,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-12 23:43:00,"[Dell][Compal][Tiger Lake] [AX201]System hang black screen after resume from MS,there are too many repetition events ID 7025/7026 in Event log"
629283,"COMPAL ELECTRONICS, INC.",DELL,title_brand_mismatch,NA,"COMPAL ELECTRONICS, INC.",2021-07-12 23:43:00,"[Dell][Compal][Tiger Lake] [AX201]System hang black screen after resume from MS,there are too many repetition events ID 7025/7026 in Event log"
629205,"HUAQIN TECHNOLOGY CO., LTD",HONOR|NEC,title_brand_mismatch,NA,"Huaqin Technology Co., Ltd",2021-07-12 21:07:00,[HONOR][HUAQIN][HiggsE][Intel TGL][Intel AX201][21H1][WIFI]WiFi list shows that WiFi network cannot be found after connecting network and idle
