Issue key,project,year,category,Summary,Custom field (Root Cause)
WIFI-790843,WIFI,2025,Connectivity,[HP][Huaqin][Deso&Esa][Win11][PTL][Sensing] Wake on approach functionality fails to wake the test unit from MS in HB,"In this scenario we went to suspend when user hits the button.
it can happen during Sensing 1, Sensing 1--> SPD and middle of spd, or end of SPD.
in all those scenarios we would go to suspend with proximity 1, opposed to normal flow when during walk away we will always turn proximity to 0.
Additionally we did not update ISH correctly when this happens.
in this fix we have a 20 sec timer from the moment of suspend, after which we will evaluate sensing metric and will force no_proximity if smoothout< th_low and report ish that proximity is 0.
"
WIFI-790172,WIFI,2025,Connectivity,[PTL][Samsung][GB6 pro][wifi sensing] HPD is not working for 5~20 min after hibernation or hybrid shutdown as connecting to LB,"no mcc update when getting back from hibernate.
introduced new flow in driver and fw to intimate scan upon this conidtion."
WIFI-789469,WIFI,2025,Connectivity,[MSFT][Marietta][PTL][FmP][25H2] Wrong text in Intel wifi driver Event Logs,"Relevant INF changes weren't implemented for State Of Separation supporting drivers.
Also, WEV .rc file compilation wasn't enabled for NetAdapter based Drivers (e.g. Netwaw18.sys)"
WIFI-788884,WIFI,2025,Connectivity,[HP][Huaqin][Deso&Esa][Win11][PTL][Sensing] Spd stop working in noisy environment in HB,changed bad sample logic upon 1 spd window 
WIFI-785633,WIFI,2025,BSOD,[MSFT][Kingsthorpe][LNL][FmP] [UID 1208363][24H2] WIFI 23.160.0.4 BSOD 0x9F,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD"
WIFI-781567,WIFI,2025,Connectivity,[Lenovo][Kailash][PTL/BE211][25H2]wifi disconnect from 2.4G AP when plug-in a specific 2.4G wireless ROG keyboard,couldn't hear the beacon - requirement changed
WIFI-781521,WIFI,2025,Connectivity,[Samsung][GB6-16 Pro][PTL+ WhP2][FCC/ISED] VLP/SP mode Tx power setting issue by DRTU,UNII6 PP1 Regulatory tables in PNVM changed from LPI to AFC
WIFI-781121,WIFI,2025,Connectivity,"[ASUS][GU405][PTL][WhP][25H2] DRTU setting for ""CA"" UNII-6 SP Tx power not work issue",Regulatory limit in PNVM changed from LPI to AFC.
WIFI-780520,WIFI,2025,YB/Lost,[HP][Win11 24H2][PTL][GfP2] Intel  Wi-Fi 6E AX211 160MHz show YB during WinPVT Power Off stress,"Product reset when WIMA isn't available on vPro platforms was ignored.
but if nic isn't vPro, we can do PLDR without waiting for WIMA.
so we are taking DcR-2960 which was introduced on master, to solve the issue by checking vPro nic before checking if need WIMA approval"
WIFI-779727,WIFI,2025,Connectivity,[HP][Huaqin][Deso&Esa][Win11][PTL][Sensing] System wakes when person walks horizontally 1.2m behind device,thresholds change - explained in bug
