Issue key,Technology,Model Category,Category Confidence,Root Cause,Root Cause Theme
WIFI-801012,WIFI,BSOD,0.494274445267397,"wdfSetDeviceFailed (trigger PLDR) was called during resume while driver still hold kmdf power thread, this led to OS bug which they didn't send surprise remove to us, which leads to a 9f BSOD",Power State / Reset / PLDR
WIFI-800210,WIFI,Performance,0.2090954764425712,PHY remove's PAPD abort flow complete didn't restore PAPD calibration event trigger,State Machine / Flow Handling
WIFI-800123,WIFI,Connectivity,0.15315973669352514,"Description: The race is as follows
Start conditions: tid T for peer P has a valid back aggrement with drv baid DB and fw baid FB
Delba is received for T over P.
delba sync cmd is sent to FW
FW removed FB
core X and core Y handle the delba sync notification at the same time
both getting to rxAggMgrInvalidateStateForBaidApi at the same time.
each stores pAggMgrContext->rxAggMgrBaidIndexTable[baidIndex].delbaStatePerQueueBitmap in a local memory region before the second core reset the bit.
(so in this scenario, both holding the value 3)
each of them is seeing the he is not the last queue, and assumes that the another sync notif will arrive soon and will invalidate the baid entry.
leading to a scenario where the ent",Firmware Config / Parameter / Tuning
WIFI-796164,WIFI,Connectivity,0.99,"We disconnect from APs that don't send beacons unless we still have
traffic. In case there is no traffic, we'll disconnect after 4 missed
beacons, In order to create traffic, send an NDP (using the keep alive infra) to
clear the consecMissedBconsSinceLastRxFromAP counter in case the NDP is
ACK'ed.",Insufficient Root-Cause Detail
WIFI-795954,WIFI,Connectivity,0.99,retry of PLL lock,Insufficient Root-Cause Detail
WIFI-795918,WIFI,Connectivity,0.1628220939215066,retry of pll lock,Insufficient Root-Cause Detail
WIFI-794048,WIFI,YB/Lost,0.16460828049371326,nan,Insufficient Root-Cause Detail
WIFI-794045,WIFI,BSOD,0.265375029890159,"During halt, when we call DPTF unregistration CB it took DPTF almost 10 sec to complete.
But since the timeout was short, we stopped waiting, released the memory
and when they did complete, then the WI resource release operation
operated on already freed memory and caused a BSOD",Memory / Pointer / Resource Handling
WIFI-793434,WIFI,Connectivity,0.15164470798681234,"Removed 0x20101920 Debug assert from Core 97,",Insufficient Root-Cause Detail
WIFI-792801,WIFI,Connectivity,0.21021401930035694,"when sleep button is hit, OS takes a few second to trigger D3 and it is triggered during SPD.
When we abort spd we abort the last sample due to a historic bug.
during the spd sample abort we did not free SDFX buffer, causing SDFX not to accept any new adc SDFX buffer requesrts, causing sensing dead scenario.",Memory / Pointer / Resource Handling
WIFI-790843,WIFI,Connectivity,0.3632830714465195,"In this scenario we went to suspend when user hits the button.
it can happen during Sensing 1, Sensing 1--> SPD and middle of spd, or end of SPD.
in all those scenarios we would go to suspend with proximity 1, opposed to normal flow when during walk away we will always turn proximity to 0.
Additionally we did not update ISH correctly when this happens.
in this fix we have a 20 sec timer from the moment of suspend, after which we will evaluate sensing metric and will force no_proximity if smoothout< th_low and report ish that proximity is 0.
",State Machine / Flow Handling
WIFI-790172,WIFI,Connectivity,0.16497077233132715,"no mcc update when getting back from hibernate.
introduced new flow in driver and fw to intimate scan upon this conidtion.",State Machine / Flow Handling
WIFI-789469,WIFI,Connectivity,0.1176816010138074,"Relevant INF changes weren't implemented for State Of Separation supporting drivers.
Also, WEV .rc file compilation wasn't enabled for NetAdapter based Drivers (e.g. Netwaw18.sys)",Driver-OS Interface / API / OID
